(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.0006074719044244203, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0006074719044244203, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1192)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.0005062265870203503, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005062265870203503, S=0.00048633401420095323}
